f_b,I,TSFC,Me,P04,P05,T03,T03s,T05,T05s,T7,T7_1,T7s,TSFC_1,Ue,W
0.0135143486744271,538.424963065938,2.50997810307173e-05,2.46473543648588,2087160.87754788,217557.512981432,1061.03519216902,990.635592952116,938.969810082298,890.184576176411,491.288763199924,491.288763199924,482.152415304365,2.50997810307173e-05,1055.24025255488,707.163974133778
0.013240227918236,532.657876511963,2.48569081620228e-05,2.45880847448117,2146852.85530813,215321.646966838,1069.93901491052,998.649033419467,931.720454051138,882.304841359933,488.614806729395,488.614806729395,479.571834335074,2.48569081620228e-05,1049.83400915174,716.107864077616
0.0129714985094546,526.919890149048,2.46175913112435e-05,2.45266700654452,2206544.83306837,213029.583746364,1078.66771920298,1006.50486728268,924.609868264526,874.575943765789,486.039119436426,486.039119436426,477.088695990954,2.46175913112435e-05,1044.44800856007,724.875847539391
0.0127079127624656,521.210212568045,2.43815498162491e-05,2.44632268645905,2266236.81082862,210687.958575165,1087.22935021913,1014.21033519721,917.63171784063,866.990997652858,483.555984698375,483.555984698375,474.6972962669,2.43815498162491e-05,1039.08182557286,733.476005895112
0.0124492405394574,515.528026718282,2.41485232504352e-05,2.43978612450405,2325928.78858886,208302.866696743,1095.6313831546,1021.77216483914,910.780115220613,859.543603500667,481.160166106052,481.160166106052,472.39241204249,2.41485232504352e-05,1033.7349854279,741.915847978793
0.0121952675923489,509.872497677034,2.39182690729745e-05,2.43306699900011,2385620.76634911,205879.912764508,1103.88077708453,1029.19661937607,904.049577992195,852.227802165429,478.846856164888,478.846856164888,470.169249596983,2.39182690729745e-05,1028.40697363696,750.202364181407
0.0119457940986434,504.242778904096,2.36905605760105e-05,2.42617415343828,2445312.74410936,203424.25487597,1111.98402252103,1036.48954026893,897.434991638563,845.038034389743,476.611631609556,476.611631609556,468.023399772229,2.36905605760105e-05,1023.09724408068,758.342074222374
0.0117006333643836,498.638017265729,2.34651850826453e-05,2.41911568134661,2505004.7218696,200940.643910055,1119.94718354304,1043.65638518874,890.931576532059,837.969104926151,474.450414340916,474.450414340916,465.950798785995,2.34651850826453e-05,1017.80522568094,766.341069468983
0.0114596106716355,493.057357056139,2.32419423574907e-05,2.41189900068341,2564696.69962985,198433.458756274,1127.77593523163,1050.70226170846,884.53485859994,831.016150652109,472.359437162454,472.359437162454,463.947693867812,2.32419423574907e-05,1012.53032790242,774.205050540169
0.0112225622514299,487.499943200263,2.30206431979414e-05,2.40453091925066,2624388.67739009,195906.737939574,1135.47559703028,1057.63195732725,878.240643178269,824.174612150293,470.335213629985,470.335213629985,462.010613026959,2.30206431979414e-05,1007.27194528742,781.939360816915
0.0109893343659815,481.964923786471,2.28011081795035e-05,2.39701769237922,2684080.65515034,193364.208073658,1143.05116255571,1064.44996630014,872.04499164324,817.44020830787,468.374511439667,468.374511439667,460.136338374288,2.28011081795035e-05,1002.02946119015,789.549016387216
0.010759782486401,476.451452049795,2.25831665327289e-05,2.38936507394008,2743772.63291058,190809.309515778,1150.50732630691,1071.16051367622,865.944200470062,810.808913554415,466.474328870632,466.474328870632,458.32188251146,2.25831665327289e-05,996.802250845998,797.038732875293
0.0105337705541182,470.958687903855,2.23666551327506e-05,2.38157836157204,2803464.61067083,188245.219545572,1157.84850765513,1077.76757688962,859.934782420207,804.276937413269,464.631873873616,464.631873873616,456.564467576747,2.23666551327506e-05,991.589683887218,804.412949539577
0.0103111703159029,465.485799101637,2.21514175852474e-05,2.37366243688167,2863156.58843107,185674.873347767,1165.07887244335,1084.27490519901,854.013449600249,797.840706087227,462.844545459076,462.844545459076,454.861506599052,2.21514175852474e-05,986.391126396529,811.675850969344
0.0100918607237778,460.031962090734,2.19373033949919e-05,2.36562180125885,2922848.56619132,183100.983042205,1172.20235247793,1090.68603723014,848.177098171187,791.496845838247,461.109917089877,461.109917089877,453.210586863728,2.19373033949919e-05,981.205942574194,818.831386664083
0.00987572739230378,454.596362616915,2.1724167205064e-05,2.35746060785761,2982540.54395156,180526.054973647,1179.22266315675,1097.00431684108,842.422794517209,785.242167953488,459.425721826642,459.425721826642,451.609455037039,2.1724167205064e-05,976.033496081122,825.883288740959
0.0096626621067197,449.178196120287,2.15118680964027e-05,2.34918269021339,3042232.52171181,177952.405447233,1186.14331944549,1103.23290750094,836.747762708348,779.07365511777,457.789839009858,457.789839009858,450.056003832338,2.15118680964027e-05,970.873151109888,832.835087982995
0.00945256237627399,443.776667960547,2.13002689386869e-05,2.34079158790196,3101924.49947205,175382.175072663,1192.96765038605,1109.37480534745,831.149373113092,772.98844903597,456.200282293127,456.200282293127,448.548260031495,2.13002689386869e-05,965.72427322685,839.690128412791
0.00924533102781017,438.390993501417,2.10892357846314e-05,2.3322905695894,3161616.4772323,172817.341860539,1199.69881229747,1115.43285106773,825.625132035515,766.983839169038,454.655188867459,454.655188867459,447.084373700764,2.10892357846314e-05,960.586230021374,846.451580552814
0.00904087583529202,433.020398079152,2.08786373006831e-05,2.32368265377543,3221308.45499254,170259.733197287,1206.33980080946,1121.40974072851,820.172672267217,761.057252464367,453.152809738124,453.152809738124,445.662608462021,2.08786373006831e-05,955.45839159224,853.122453513099
0.0088391091814866,427.664116875683,2.06683442278512e-05,2.31497062749221,3281000.43275279,167711.036810421,1212.89346185137,1127.30803566623,814.789744457983,755.206243976068,451.691500933917,451.691500933917,444.281332698732,2.06683442278512e-05,950.340130896403,859.705606029698
0.00863994774848282,422.32139471342,2.04582288670119e-05,2.30615706318665,3340692.41051303,165172.810823088,1219.36250170464,1133.13017153417,809.474209220645,749.42848828331,450.269715544326,450.269715544326,442.939011591748,2.04582288670119e-05,945.230823981228,866.203756562307
0.00844331223411922,416.991485785798,2.02481645835244e-05,2.29724433398498,3400384.38827328,162646.492985729,1225.74949621357,1138.87846659221,804.224029895781,743.721771625849,448.885996493462,448.885996493462,441.634199893414,2.02481645835244e-05,940.129850117899,872.61949254653
0.0082491270917376,411.673653335235,2.00380253263868e-05,2.28823462751322,3460076.36603352,160133.409162985,1232.05689923851,1144.55512931466,799.037265910511,738.083984685338,447.53896997103,447.53896997103,440.365535360021,2.00380253263868e-05,935.036591850893,878.955278885083
0.00805732029097669,406.367169288111,1.98276851574693e-05,2.27912995842584,3519768.34379377,157634.781145442,1238.2870504256,1150.16226538304,793.912066673272,732.513115949208,446.227339450494,446.227339450494,439.131732772478,1.98276851574693e-05,929.950434976038,885.213465752511
